,name,address,lat,lon,coordinates,rating
2036,Wagyu Express by Aburiya,Wagyu Express by Aburiya -  108 Tanjong Pagar Road,1.2779591,103.84369217800334,"[1.2779591, 103.84369217800334]",4.5
2037,Xin Cuisine Chinese Restaurant,Xin Cuisine Chinese Restaurant - Holiday Inn Singapore Atrium,1.2889057,103.8342699,"[1.2889057, 103.8342699]",5.0
2038,Fill A Pita,Fill A Pita - China Square Central ,1.283872724704067,103.84774356496789,"[1.283872724704067, 103.84774356496789]",3.4
2039,Lou Yau,Lou Yau - Tiong Bahru Plaza #02-137,1.2863742,103.82763720909092,"[1.2863742, 103.82763720909092]",4.0
2040,The Gogi Jib Charcoal BBQ House,The Gogi Jib Charcoal BBQ House - 72 & 74 Tanjong Pagar Road,1.2787033,103.8439264,"[1.2787033, 103.8439264]",3.8
2041,Pastabar,Pastabar - Kesa House (55 Keong Saik Road),1.28081643462299,103.8417666,"[1.28081643462299, 103.8417666]",5.0
2042,Miznon,Miznon - Stanley Street [Islandwide Delivery],1.2799552600967825,103.8478636948558,"[1.2799552600967825, 103.8478636948558]",4.4
2043,Chong Qing Grilled Fish,Chong Qing Grilled Fish - Mosque Street,1.284014725,103.8444698,"[1.284014725, 103.8444698]",4.1
2044,Nouri,Nouri - Amoy Street [Islandwide Delivery],1.280242,103.846829,"[1.280242, 103.846829]",4.8
2045,Jekyll & Hyde,Jekyll & Hyde - Neil Road,1.279731,103.842511,"[1.279731, 103.842511]",3.9
2046,Ajisen,Ajisen - Tiong Bahru Plaza,1.28644225,103.827374125,"[1.28644225, 103.827374125]",4.3
2047,Bee Cheng Hiang,Bee Cheng Hiang - New Bridge Road,1.2844406333333334,103.843848455,"[1.2844406333333334, 103.843848455]",4.8
2048,Chicken Up,Chicken Up - 48 Tanjong Pagar Road,1.2792395,103.8438333,"[1.2792395, 103.8438333]",4.4
2049,Teppan Works,Teppan Works - Tras Street,1.27831,103.84422,"[1.27831, 103.84422]",4.8
2050,A Sticky Situation,A Sticky Situation - Neil Road,1.2797245035178697,103.8427605589106,"[1.2797245035178697, 103.8427605589106]",4.8
2051,Pizza Hut,Pizza Hut - Tiong Bahru Plaza,1.2864997666666669,103.82687835,"[1.2864997666666669, 103.82687835]",4.1
2052,Aliff Rojak,Aliff Rojak - Maxwell Food Centre [Stall 101],1.2799473589860066,103.84475412344416,"[1.2799473589860066, 103.84475412344416]",4.6
2053,Lou Yau,Lou Yau - Chinatown Point,1.2851707,103.844729625,"[1.2851707, 103.844729625]",3.9
2054,Noodle Star K,Noodle Star K - Tanjong Pagar Road,1.2790121,103.8437081,"[1.2790121, 103.8437081]",
2055,Zion Riverside Food Centre,Zion Riverside Food Centre,1.2924211,103.8312244,"[1.2924211, 103.8312244]",
2056,Bee Cheng Hiang,Bee Cheng Hiang - Tiong Bahru Plaza,1.28655225,103.82694927142856,"[1.28655225, 103.82694927142856]",4.4
2057,Ann Siang - Beta,Ann Siang Mix & Match [Islandwide Delivery],1.2807674,103.8456612,"[1.2807674, 103.8456612]",3.6
2058,Arteastiq,Arteastiq DePatio - Plaza Singapura,1.29206,103.83072,"[1.29206, 103.83072]",5.0
2059,Beast and Butterflies,Beast and Butterflies - M Social,1.2903181,103.83681288793824,"[1.2903181, 103.83681288793824]",4.3
2060,Chengdu Bowl,Chengdu Bowl - Chinatown Point ,1.2852053719098089,103.84444707279746,"[1.2852053719098089, 103.84444707279746]",4.0
2061,KOI The,KOI The - Tiong Bahru Plaza,1.286585,103.82779121398924,"[1.286585, 103.82779121398924]",4.7
2062,Zhong Hua Mian Zhuang,Zhong Hua Mian Zhuang - New Market Road,1.284440866666667,103.84235934999998,"[1.284440866666667, 103.84235934999998]",4.2
2063,Csb Seafood Special,Csb Seafood Special - Jalan Kukoh,1.2882099,103.83972553333334,"[1.2882099, 103.83972553333334]",3.9
2064,Waa Cow!,Waa Cow! - Marina One,1.2766478,103.8524764,"[1.2766478, 103.8524764]",4.6
2065,Twelve Cupcakes,Twelve Cupcakes - Chinatown Point,1.2853622636349047,103.84480196666668,"[1.2853622636349047, 103.84480196666668]",4.4
2066,Watsons,Watsons - Tiong Bahru Plaza,1.2865758,103.82678597142858,"[1.2865758, 103.82678597142858]",4.7
2067,Rockstar Chicken,Rockstar Chicken - People's Park Food Centre,1.285108,103.84241,"[1.285108, 103.84241]",
2068,Plain Vanilla Bakery,Plain Vanilla Bakery - 134 Telok Ayer Street,1.2815978,103.8481113,"[1.2815978, 103.8481113]",4.6
2069,Jiu Jiu Wang Jing Wu Ya Bo 九九王精武鸭脖,Jiu Jiu Wang Jing Wu Ya Bo 九九王精武鸭脖 - People's Park Complex,1.2845634666666663,103.8424653,"[1.2845634666666663, 103.8424653]",4.1
2070,Hua Zai Roasted Duck,Hua Zai Roasted Duck - Tiong Bahru,1.2821516,103.8254884,"[1.2821516, 103.8254884]",3.4
2071,The Original Katong Laksa 1950,The Original Katong Laksa 1950 - Chinatown Point ,1.285462797,103.8448858,"[1.285462797, 103.8448858]",4.1
2072,胡振隆 Hu Zhen Long,胡振隆 Hu Zhen Long - Sago Street,1.28156504,103.84429580791053,"[1.28156504, 103.84429580791053]",3.5
2073,Zhen Wei,Zhen Wei Ban Mian - New Market Road,1.284885,103.84239175,"[1.284885, 103.84239175]",4.0
2074,Tiger Sugar,Tiger Sugar - Chinatown Point,1.28558986,103.84494233559322,"[1.28558986, 103.84494233559322]",4.6
2075,Ri Ri Hong Mala Hot Pot,Ri Ri Hong Mala Hot Pot - People's Park Food Centre,1.285124978,103.8423876,"[1.285124978, 103.8423876]",1.0
2076,Bochinche,Bochinche - Amoy Street [Islandwide Delivery],1.2821906,103.84785827079324,"[1.2821906, 103.84785827079324]",4.5
2077,Teppei Syokudo,Teppei Syokudo - Medical Alumni Building,1.28247,103.83604,"[1.28247, 103.83604]",
2078,Face Restaurant & Bar,Face Restaurant & Bar - Telok Ayer Conservation Area,1.281941,103.845703,"[1.281941, 103.845703]",
2079,Koo Kee Yong Tow Foo Mee,Koo Kee Yong Tow Foo Mee - New Market Road,1.2852269825179052,103.84266628,"[1.2852269825179052, 103.84266628]",4.4
2080,Tian Tian Seafood Restaurant,Tian Tian Seafood Restaurant - Outram Road,1.2845836579811616,103.83508036,"[1.2845836579811616, 103.83508036]",3.8
2081,The Ice Cream Store,The Ice Cream Store - Cross Street Exchange,1.28323634,103.8469392,"[1.28323634, 103.8469392]",1.0
2082,Thai Savoury,Thai Savoury - Cross Street Exchange [Islandwide Delivery],1.283504,103.847032,"[1.283504, 103.847032]",3.8
2083,The Coco Rice,The Coco Rice - Seng Poh Road,1.284973,103.832979,"[1.284973, 103.832979]",5.0
2084,Potion Bistro & Bar,Potion Bistro & Bar - Nostalgia Hotel,1.2852461216983246,103.8336837,"[1.2852461216983246, 103.8336837]",
2085,Kim Kitchen Braised Duck,Kim Kitchen Braised Duck - Beo Crescent Market,1.2888497849164242,103.8275598,"[1.2888497849164242, 103.8275598]",4.1
2086,Tempat Makan Sha's,Tempat Makan Sha's - Tan Boon Liat Building,1.2873082,103.8345414,"[1.2873082, 103.8345414]",4.5
2087,Heng Heng Seafood,Heng Heng Seafood - Havelock Road,1.2886045,103.82947698,"[1.2886045, 103.82947698]",4.3
2088,The Providore,The Providore - Tan Boon Liat Building [Islandwide Delivery],1.2873685,103.83433561279296,"[1.2873685, 103.83433561279296]",3.9
2089,Mirch Masalah,Mirch Masalah - Boat Quay ,1.2863,103.84962,"[1.2863, 103.84962]",
2090,Le Bon Funk,Le Bon Funk - Club Street [Islandwide Delivery],1.28355,103.845835,"[1.28355, 103.845835]",5.0
2091,Boat Quay Mix & Match - Beta,Boat Quay Mix & Match [Islandwide Delivery],1.2864533288302482,103.84961838187412,"[1.2864533288302482, 103.84961838187412]",4.3
2092,Mak Hong Kee,Mak Hong Kee - Keong Saik Road,1.2793550372971365,103.8415425,"[1.2793550372971365, 103.8415425]",4.1
2093,Nagasaki Bar & Restaurant,Nagasaki Bar & Restaurant - 50 Keong Saik Road,1.2808439,103.8417353,"[1.2808439, 103.8417353]",3.7
2094,Wine & Chef,Wine & Chef - Keong Saik Road,1.2793194,103.84154657833278,"[1.2793194, 103.84154657833278]",4.4
2095,HUSK Nasi Lemak,HUSK Nasi Lemak - Duxton Hill,1.279295842,103.8427619,"[1.279295842, 103.8427619]",5.0
2096,Atrium Restaurant,Atrium Restaurant - Holiday Inn Singapore Atrium,1.2889107,103.83443333,"[1.2889107, 103.83443333]",4.5
2097,195 Pearl Hill Café,195 Pearl Hill Café - Pearl's Hill Terrace,1.2846817262482686,103.8415257,"[1.2846817262482686, 103.8415257]",4.5
2098,Ryu Taro Yakitori Restaurant,Ryu Taro Yakitori Restaurant - Neil Road,1.279547886,103.8426687,"[1.279547886, 103.8426687]",
2099,Group Therapy,Group Therapy - Capri by Fraser China Square [Islandwide Delivery],1.283873183801476,103.8468889,"[1.283873183801476, 103.8468889]",4.3
